trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,0,-35.528270816275764,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.99, 'e': 0.9801}",25,0,-79.20956856716528,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.99, 'e': 0.970299}",20,0,-129.31581887895746,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",20,5,-50.56520938692823,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 0}",1
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",20,0,-160.871784597978,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.99, 'e': 0.941480149401}",20,0,-72.69067307943239,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",25,0,-133.39355013158774,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",25,0,-119.2766258129599,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,0,-31.352994281823193,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",20,0,-116.36883994788401,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",20,0,-125.38878539920553,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",20,0,-18.627809522067484,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-47.0099231595202,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",30,0,-98.15768777634952,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",30,0,-135.25575929055051,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",25,0,-99.81145295031388,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",25,0,-119.74765266198104,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",30,0,-106.08768918962389,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",20,0,-78.00239074639623,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.99, 'e': 0.8179069375972308}",20,0,-99.0141622937891,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.99, 'e': 0.8097278682212584}",20,0,-93.56852894547649,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.99, 'e': 0.8016305895390459}",30,0,-64.38279539428436,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.99, 'e': 0.7936142836436554}",25,0,-126.57867008601295,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",20,0,-59.62652180840714,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991467}",20,0,-31.847745331518432,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",25,0,-48.07002471444922,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",20,0,-97.39620090929604,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
28,False,"{'a': 0.99, 'e': 0.7547192872036326}",20,2,-27.88132163967388,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.99, 'e': 0.7471720943315961}",20,0,-46.77082206936241,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.99, 'e': 0.7397003733882802}",20,0,-28.887447390502956,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.99, 'e': 0.7323033696543975}",25,0,-113.46549195572659,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.99, 'e': 0.7249803359578534}",25,0,-70.2769321250107,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
33,False,"{'a': 0.99, 'e': 0.7177305325982749}",25,0,-60.47898278724854,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.99, 'e': 0.7105532272722921}",20,11,-77.23672556608561,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 1}",1
35,False,"{'a': 0.99, 'e': 0.7034476949995692}",25,0,-91.60251941112672,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.99, 'e': 0.6964132180495735}",20,0,-65.78427341760879,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.99, 'e': 0.6894490858690777}",30,0,-104.3360872448616,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.99, 'e': 0.682554595010387}",20,12,-6.981227775428629,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.99, 'e': 0.6757290490602831}",30,0,-60.74972784517688,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.99, 'e': 0.6689717585696803}",20,0,-101.01651964906911,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
41,False,"{'a': 0.99, 'e': 0.6622820409839835}",20,0,-53.78539314013141,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",30,0,-147.0085770503771,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",20,10,-47.84103714460493,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",30,0,-126.53970921320116,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",20,6,22.149615108383045,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",20,0,-59.17145234729986,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.99, 'e': 0.6235253948912}",25,0,-40.77598985523143,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.99, 'e': 0.617290140942288}",30,12,-77.48166808073553,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
49,False,"{'a': 0.99, 'e': 0.611117239532865}",25,4,-18.803934597347318,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.99, 'e': 0.6050060671375364}",20,0,-66.89747192374475,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
51,False,"{'a': 0.99, 'e': 0.598956006466161}",25,9,-21.560965259104275,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",25,15,-4.087786693907941,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",20,0,-78.86405612225226,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",25,0,-99.79802615773046,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",25,5,-22.496890566873976,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",25,0,-97.04579038658595,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 0.99, 'e': 0.5639051904523875}",20,0,2.961412332017237,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.99, 'e': 0.5582661385478637}",20,0,-64.44179927727617,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",30,0,-151.64726642558205,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",20,0,-43.44013367492651,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",20,0,-40.98543573905882,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.99, 'e': 0.536268225207185}",30,21,6.3554848341966315,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",25,0,-134.53048488907336,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.99, 'e': 0.525596487525562}",20,0,-102.20957386954622,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-41.532504414999735,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",25,4,-51.383740311388536,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",20,3,-85.48782296694644,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",20,0,2.81762240015596,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",20,0,-47.48980410353968,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",20,0,-34.072362625994955,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.99, 'e': 0.4898902730042049}",20,12,1.6675532650753342,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.48499137027416284}",35,6,-83.6794211061464,"{0: 22, 1: 4, 2: 1, 3: 0, 4: 2}",1
73,False,"{'a': 0.99, 'e': 0.4801414565714212}",20,0,-69.32685600616163,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.99, 'e': 0.47534004200570695}",20,5,-12.001367391447598,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.99, 'e': 0.4705866415856499}",25,2,-56.56469905070318,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.99, 'e': 0.46588077516979337}",20,4,-18.555753569078977,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.99, 'e': 0.46122196741809546}",20,0,-27.149171253988168,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 0.99, 'e': 0.4566097477439145}",20,0,-12.228644829958146,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.99, 'e': 0.45204365026647536}",30,0,33.01770461670813,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.99, 'e': 0.4475232137638106}",20,1,-72.64952620245334,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.99, 'e': 0.4430479816261725}",25,5,-2.929187398518886,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.99, 'e': 0.43861750180991077}",20,0,-25.106374617898965,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.99, 'e': 0.43423132679181164}",30,11,-77.78484337145906,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
84,False,"{'a': 0.99, 'e': 0.4298890135238935}",20,0,13.462989971818645,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.99, 'e': 0.4255901233886546}",30,0,-101.29433969405139,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.99, 'e': 0.421334222154768}",25,3,17.428596057404324,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.99, 'e': 0.41712087993322033}",30,13,-30.00338045943539,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.99, 'e': 0.41294967113388814}",20,8,-5.519078887036534,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.99, 'e': 0.40882017442254925}",20,8,8.78587217252985,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.99, 'e': 0.4047319726783238}",20,7,-46.90896866314681,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.99, 'e': 0.40068465295154054}",20,15,3.198550668661205,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.3966778064220251}",20,16,6.959222585549651,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.39271102835780486}",35,22,20.892806249478184,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.99, 'e': 0.3887839180742268}",30,21,14.548344874996356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.99, 'e': 0.38489607889348454}",25,0,-17.714940112014993,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
96,False,"{'a': 0.99, 'e': 0.38104711810454966}",20,0,-30.764895704729277,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.99, 'e': 0.37723664692350417}",20,7,10.855715986476579,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.99, 'e': 0.37346428045426916}",30,0,6.669689041936515,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.99, 'e': 0.36972963764972644}",30,11,0.9253938733795923,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
