trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 1.0}",20,0,-80.7585174795557,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.99, 'e': 1.0}",20,0,-97.2014058699921,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.99, 'e': 1.0}",25,0,-149.47287402866843,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.99, 'e': 1.0}",20,0,-164.22849470830218,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.99, 'e': 1.0}",20,9,-63.07379287166204,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.99, 'e': 1.0}",20,0,-28.493870523490823,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.99, 'e': 1.0}",30,0,-24.659450612825196,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.99, 'e': 1.0}",20,0,-140.96480353885303,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.99, 'e': 1.0}",30,0,-109.04211597179618,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.99, 'e': 1.0}",30,0,-151.25763647191522,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.99, 'e': 1.0}",20,11,-2.221162624656433,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.99, 'e': 1.0}",25,0,-83.43504882597485,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.99, 'e': 1.0}",20,0,-80.17525467954786,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.99, 'e': 1.0}",25,0,-115.71107314921309,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.99, 'e': 1.0}",35,0,-154.22934918072832,"{0: 20, 1: 8, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.99, 'e': 1.0}",25,0,-88.71148894323824,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.99, 'e': 1.0}",25,0,-276.65894538324693,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 5}",0
18,False,"{'a': 0.99, 'e': 1.0}",25,0,-181.21729285312128,"{0: 10, 1: 7, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.99, 'e': 1.0}",20,0,-132.6976344076855,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.99, 'e': 1.0}",35,0,-173.91255829072088,"{0: 15, 1: 8, 2: 11, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-186.71172821913615,"{0: 10, 1: 8, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-97.24179458412992,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-76.88950146261935,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",35,0,-84.55751530184467,"{0: 20, 1: 9, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-35.98762752560099,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-42.11195419359048,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-135.76097125700934,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-201.69904818475538,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-50.304201903375905,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-72.99731566667677,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
